,frame_number,gender,emotion,year,movie_name
689,160,man,fear,2016,a_flying_jatt
691,48,man,surprise,2016,a_flying_jatt
692,159,man,fear,2016,a_flying_jatt
694,14,woman,fear,2010,mallika
695,62,woman,happy,2010,mallika
696,58,woman,sad,2010,mallika
697,20,woman,angry,2010,mallika
698,38,man,sad,2010,mallika
699,49,man,sad,2010,mallika
700,83,woman,angry,2010,mallika
701,13,man,fear,2010,mallika
703,79,man,sad,2010,mallika
704,98,woman,happy,2012,ajab_gazabb_love
705,98,woman,happy,2012,ajab_gazabb_love
706,62,woman,angry,2012,ajab_gazabb_love
707,132,woman,surprise,2012,ajab_gazabb_love
709,154,man,angry,2012,ajab_gazabb_love
710,76,woman,angry,2012,ajab_gazabb_love
711,108,man,angry,2012,ajab_gazabb_love
712,55,man,sad,2012,ajab_gazabb_love
713,55,woman,angry,2012,ajab_gazabb_love
714,156,man,angry,2012,ajab_gazabb_love
715,156,man,happy,2012,ajab_gazabb_love
716,35,man,angry,2012,ajab_gazabb_love
719,52,man,happy,2012,ajab_gazabb_love
721,53,woman,fear,2012,ajab_gazabb_love
723,63,man,angry,2012,ajab_gazabb_love
724,49,woman,happy,2012,ajab_gazabb_love
725,49,man,disgust,2012,ajab_gazabb_love
726,103,woman,sad,2012,ajab_gazabb_love
727,54,woman,fear,2012,ajab_gazabb_love
729,89,woman,fear,2012,ajab_gazabb_love
731,143,man,happy,2012,ajab_gazabb_love
732,109,woman,surprise,2012,ajab_gazabb_love
733,102,woman,sad,2012,ajab_gazabb_love
734,110,woman,surprise,2012,ajab_gazabb_love
735,161,man,sad,2012,ajab_gazabb_love
736,66,man,sad,2012,ajab_gazabb_love
737,77,man,happy,2012,ajab_gazabb_love
739,160,man,sad,2012,ajab_gazabb_love
742,113,man,angry,2012,ajab_gazabb_love
745,157,woman,sad,2012,ajab_gazabb_love
747,101,woman,sad,2012,ajab_gazabb_love
748,159,man,angry,2012,ajab_gazabb_love
749,99,man,angry,2012,ajab_gazabb_love
753,112,man,surprise,2012,ajab_gazabb_love
754,23,man,angry,2012,ajab_gazabb_love
755,25,woman,sad,2012,ajab_gazabb_love
756,93,man,sad,2013,saare_jahaan_se_mehnga
757,14,man,happy,2013,saare_jahaan_se_mehnga
759,51,man,happy,2013,saare_jahaan_se_mehnga
760,60,man,angry,2013,saare_jahaan_se_mehnga
762,132,man,sad,2013,saare_jahaan_se_mehnga
763,44,woman,sad,2013,saare_jahaan_se_mehnga
764,147,man,sad,2013,saare_jahaan_se_mehnga
765,30,man,fear,2013,saare_jahaan_se_mehnga
766,120,woman,sad,2013,saare_jahaan_se_mehnga
769,36,man,happy,2013,saare_jahaan_se_mehnga
770,70,man,angry,2013,saare_jahaan_se_mehnga
771,142,man,sad,2013,saare_jahaan_se_mehnga
772,42,woman,sad,2013,saare_jahaan_se_mehnga
774,138,man,sad,2013,saare_jahaan_se_mehnga
775,116,woman,sad,2013,saare_jahaan_se_mehnga
777,109,man,happy,2013,saare_jahaan_se_mehnga
778,74,man,sad,2013,saare_jahaan_se_mehnga
779,27,man,angry,2013,saare_jahaan_se_mehnga
780,146,man,sad,2013,saare_jahaan_se_mehnga
781,82,man,angry,2013,saare_jahaan_se_mehnga
782,141,man,sad,2013,saare_jahaan_se_mehnga
783,41,woman,sad,2013,saare_jahaan_se_mehnga
784,119,man,sad,2013,saare_jahaan_se_mehnga
785,50,man,happy,2013,saare_jahaan_se_mehnga
786,113,man,fear,2013,saare_jahaan_se_mehnga
788,47,woman,fear,2013,saare_jahaan_se_mehnga
789,48,woman,fear,2013,saare_jahaan_se_mehnga
790,115,man,sad,2013,saare_jahaan_se_mehnga
791,117,woman,happy,2013,saare_jahaan_se_mehnga
792,43,woman,sad,2013,saare_jahaan_se_mehnga
793,114,man,fear,2013,saare_jahaan_se_mehnga
795,31,man,fear,2013,saare_jahaan_se_mehnga
797,55,man,sad,2012,joker
799,54,man,fear,2012,joker
801,56,man,happy,2012,joker
802,21,man,happy,2012,joker
804,5,man,sad,2012,joker
806,106,woman,sad,2011,7_khoon_maaf
807,68,woman,happy,2011,7_khoon_maaf
810,69,woman,happy,2011,7_khoon_maaf
812,69,man,happy,2011,7_khoon_maaf
814,101,man,happy,2011,7_khoon_maaf
815,73,man,angry,2011,7_khoon_maaf
816,75,man,angry,2011,7_khoon_maaf
817,122,man,sad,2017,bhanwarey
818,122,man,fear,2017,bhanwarey
819,122,man,surprise,2017,bhanwarey
820,85,man,happy,2017,bhanwarey
821,28,man,angry,2017,bhanwarey
822,98,man,angry,2017,bhanwarey
823,62,man,happy,2017,bhanwarey
824,62,man,happy,2017,bhanwarey
825,60,woman,happy,2017,bhanwarey
826,58,man,fear,2017,bhanwarey
827,58,man,sad,2017,bhanwarey
828,61,man,happy,2017,bhanwarey
831,154,man,angry,2017,bhanwarey
834,128,man,fear,2017,bhanwarey
835,128,man,fear,2017,bhanwarey
836,20,man,happy,2017,bhanwarey
837,71,man,disgust,2017,bhanwarey
838,125,man,angry,2017,bhanwarey
842,76,man,angry,2017,bhanwarey
844,45,man,angry,2017,bhanwarey
845,91,man,surprise,2017,bhanwarey
846,158,woman,fear,2017,bhanwarey
847,59,man,angry,2017,bhanwarey
848,107,man,fear,2017,bhanwarey
849,106,man,fear,2017,bhanwarey
850,52,man,angry,2017,bhanwarey
854,121,man,happy,2017,bhanwarey
855,70,man,happy,2017,bhanwarey
856,38,woman,sad,2017,bhanwarey
857,26,man,angry,2017,bhanwarey
858,142,man,angry,2017,bhanwarey
